query_id,queries,passages,labels
b1231842-12d9-491e-a225-f90b67971b06,根据上下文，你认为今年A股半导体行业上市公司的半年度业绩受到了哪些因素的影响？,受半导体行业周期“磨底”、消费电子市场需求恢复缓慢等影响，今年A股半导体行业上市公司半年度业绩预告显示，归母净利润普遍同比下滑，IC设计、封测等环节成为“重灾区”， 。环比来看，部分头部企业第二季度业绩已经企稳复苏，盈利环比增长，人工智能、汽车电子、电网等板块贡献业绩，有公司表示下半年将企稳增长。,1
b1231842-12d9-491e-a225-f90b67971b06,根据上下文，你认为今年A股半导体行业上市公司的半年度业绩受到了哪些因素的影响？,华为自研芯片的推出意味着国内在半导体先进制程大规模生产又进了一步，但并不代表“卡脖子”的风险解除，在看到进步的同时，我们还是要保持冷静，综合来看，这一次进步为我们与美国的博弈增加了谈判的筹码。,0
b1231842-12d9-491e-a225-f90b67971b06,根据上下文，你认为今年A股半导体行业上市公司的半年度业绩受到了哪些因素的影响？,"坂本幸雄点评中国半导体产业差距

坂本幸雄：在运算用逻辑芯片领域，即使是中国顶尖的中芯国际，产品的最细电路线宽也只是14纳米，这已是7、8年前的技术。中芯国际的经营资源完全被用于增加14纳米以上的产能……",0
b1231842-12d9-491e-a225-f90b67971b06,根据上下文，你认为今年A股半导体行业上市公司的半年度业绩受到了哪些因素的影响？,"集成电路测试设备主要用于封装测试产业环节，客户包括下游封装测试企业、晶圆制造企业和芯片设计企业，目前封装测试业已成为我国集成电路产业链中最具国际竞争力的环节，测试设备有望率先受益于产能转移。



目前国内厂商已掌握了测试设备相关核心技术，生产的测试机和分选机获得长电科技、日月光等企业使用和认可，与国外知名企业相比，国内优势企业对客户需求更为理解，服务方式更为灵活，产品性价比更高，具有较强的本土优势。",0
b1231842-12d9-491e-a225-f90b67971b06,根据上下文，你认为今年A股半导体行业上市公司的半年度业绩受到了哪些因素的影响？,"随着每辆车中的半导体产品数量增加，车用半导体迅速成为半导体产业最重要的市场。

目前汽车已经成为新型电子技术的应用载体，半导体在汽车中得到了越来越多的应用。汽车半导体所涉及到的技术包括功率IC、IGBT、CMOS等，应用于车载娱乐系统、ADAS辅助驾驶系统、HMI显示系统、电动马达控制、灯光控制、电动车的电源管理系统等多处车载功能模块或器件。",0
2ff9fd5b-132a-431c-a33b-c3738b6007fd,根据上述信息，请问哪些半导体上市公司预计业绩首次亏损？,"据Choice金融终端统计，目前超过30家半导体上市公司披露业绩预告，其中，通富微电、汇顶科技、士兰微、上海贝岭、中晶科技、大为股份等公司业绩预计首亏，博通集成预亏增加，韦尔股份、瑞芯微、华天科技等公司最大降幅超过90%。相比之下，北方华创、中微公司等头部企业翻倍增长。

　　设计企业：",1
2ff9fd5b-132a-431c-a33b-c3738b6007fd,根据上述信息，请问哪些半导体上市公司预计业绩首次亏损？,"近年国产设备技术发展稳健，12英寸28nm晶圆关键设备(光刻机外)已进入主流生产线实现量产，其中刻蚀机已进入7nm产线。

据中国电子专用设备工业协会数据，2016年中芯国际北京晶圆厂使用国产集成电路晶圆设备加工的12英寸正式产品突破一千万片次，标志着集成电路国产设备在市场化大生产线中得到充分验证;

2017年中微半导体研制的7nm等离子刻蚀机已在国际顶尖的集成电路生产线上量产使用，达到了国际先进水平;",0
2ff9fd5b-132a-431c-a33b-c3738b6007fd,根据上述信息，请问哪些半导体上市公司预计业绩首次亏损？,"中国是全球最大集成电路进口市场，作为电子信息产业的核心，“中国芯”的进口依赖严重影响我国信息产业安全，我国芯片的国产化需求强烈。

我国集成电路市场仍严重依赖进口，中国半导体行业协会统计2015年我国集成电路消费市场自给率仅为30%，约70%依赖进口。

2017年，集成电路产品进口金额达到2588亿美元，已经替代原油成为我国第一大进口商品。",0
2ff9fd5b-132a-431c-a33b-c3738b6007fd,根据上述信息，请问哪些半导体上市公司预计业绩首次亏损？,历次的金融危机和泡沫破裂都会使得半导体行业在短期内下降，但是从长期来看，新产品的推出才是半导体行业持续发展繁荣的内在动力。半导体行业受行业本身供需以及新产品周期的影响。历次的金融危机和泡沫破裂都会使得半导体行业在短期内下降，但是从长期来看，新产品的推出才是半导体行业持续发展繁荣的内在动力。,0
2ff9fd5b-132a-431c-a33b-c3738b6007fd,根据上述信息，请问哪些半导体上市公司预计业绩首次亏损？,"1970年代至1990年代，半导体行业迎来了高速增长期，芯片设计、制造和封装等技术不断提升。

21世纪以来，半导体行业进入了晶圆制造的深度优化阶段，以及多领域、多场景应用的拓展阶段，如物联网、人工智能、5G通信等。

目前，全球半导体行业呈现出快速发展、技术竞争激烈、市场前景广阔等特点。其中，中国半导体行业也在快速发展，成为全球半导体行业的重要参与者之一。",0
3cf408b6-74e0-439f-9d1e-87a0bebe9b84,What is the reason for the decline in performance of chip design companies in the first half of the year in the context of the sluggish consumer electronics market?,"加速去库存

　　由于终端消费电子市场低迷，芯片设计企业上半年业绩同比普遍预降，但随着去库存推进，部分企业业绩触底企稳，并在二季度环比增长。

　　作为AIot（人工智能与物联网）芯片龙头，瑞芯微预计今年上半年实现营业收入约8.58亿元，同比减少约31%，归母净利润2000万元到3000万元，同比减少93%到89%。环比来看，第二季度公司营收增长约六成，归母净利润环比实现扭亏。",1
3cf408b6-74e0-439f-9d1e-87a0bebe9b84,What is the reason for the decline in performance of chip design companies in the first half of the year in the context of the sluggish consumer electronics market?,在经历了前几年严重的“缺芯”危机之后，半导体行业似乎迎来了周期变化，各家企业纷纷削减了设备投资。但美国、日本等国家依然在不惜重金积极拉拢台积电等代工企业入驻。日经中文网为您汇总了全球半导体行业在2022年的变化和发展。,0
3cf408b6-74e0-439f-9d1e-87a0bebe9b84,What is the reason for the decline in performance of chip design companies in the first half of the year in the context of the sluggish consumer electronics market?,"因此，本土设备企业也面临最“坏”的时代，因为唯有技术准备充分的企业才能胜出。



▌新兴蓝海:汽车电子、人工智能直通未来，驱动行业不断发展

汽车电子有望成为半导体行业未来最大成长动能，汽车半导体市场会是未来半导体领域强劲的芯片终端应用市场。现阶段，PC、手机行业已经较为成熟，不再是半导体的最大成长动能，取而代之的是许多新的应用领域，汽车电子是突出代表。",0
3cf408b6-74e0-439f-9d1e-87a0bebe9b84,What is the reason for the decline in performance of chip design companies in the first half of the year in the context of the sluggish consumer electronics market?,"但另一方面，全球设备产业呈少数海外巨头垄断格局，中外技术实力、企业体量差距较悬殊且进口替代时间窗口有限，未来5年或是本土半导体产能投资需求增长最快的阶段，留给国产设备企业的时间窗口其实已不多。

我们认为总体上国产设备必然受益但产业链各环节的差异会很大。国产化须符合最朴素商业逻辑，即技术或配套实力优于进口，这样才会有持续需求，光靠补贴和支持难以诞生优质企业。",0
3cf408b6-74e0-439f-9d1e-87a0bebe9b84,What is the reason for the decline in performance of chip design companies in the first half of the year in the context of the sluggish consumer electronics market?,"除了光刻设备突破不大之外，刻蚀和薄膜沉淀设备已经可以在12英寸28nm的产线上批量使用，还有一批14nm的设备已经进入产线工艺验证阶段。

虽然与国际上最新的7nm/10nm技术还有一定的距离，但是随着中国半导体市场越来越大，国产半导体设备制造企业凭借着地理、服务、价格等优势有望速度崛起，或将实现对国外领先公司的技术和业务的弯道追赶。",0
